review,aspects,opinions,aspect_categories,length
苹果手机很好用物流很快手机很流畅很好用,"苹果,手机,物流,手机",流畅,服务,19
我来评价下这个宝贝价格不错质量不错快递不错老板不错,"评价,宝贝,价格,质量,老板","不错,不错,不错,不错",价格,25
超级好物流很快后很快打开了非常完美一直都是用苹果的所以很习惯这个系统完美,"物流,苹果,习惯,系统","完美,完美","服务,系统",36
发货快包装好正品优惠给力,"发货,正品,力",,服务,12
这款手机性价比很高而且速度也够快玩游戏不卡顿拍照也很清晰超广角特别棒真心的不错选的紫色确实好看推荐购买紫色的实际颜色更美呢,"手机,性价比,速度,玩游戏,紫色,紫色,实际,颜色","够快,清晰,不错,确实","价格,外观,性能",61
是正品和实体店一样价格还优惠果断转粉,"正品,实体店,价格,转粉",,价格,18
手机不错,手机,不错,其他,4
非常好下次还来购买这款产品,产品,,其他,13
这次价格确实还可以物流很快包装很好总体不错,"价格,物流,总体","确实,不错","价格,服务",21
电池续航电池容量还可以,"电池,续航,电池容量",,续航,11
拍照效果拍照也是很不错,效果,不错,其他,11
显示效果显示效果也是非常好,"效果,效果",,其他,13
运行速度速度非常快非常流畅,"速度,速度",流畅,性能,13
电池续航很足,"电池,续航",很足,续航,6
拍照效果美,"效果,美",,其他,5
显示效果清楚,效果,清楚,其他,6
大小合适,,合适,其他,4
手机很好是正品苏宁购物很放心物流也很快手机更是好用哦力给,"手机,正品,苏宁,购物,物流,手机,力",,服务,28
显示效果屏幕很好待机时间again,"效果,屏幕,待机时间",,"续航,屏幕",17
运行速度快的下比,速度,,性能,8
拍照效果长款,"效果,长款",,其他,6
苹果手机真的好用运行速度快值得放心购买,"苹果,手机,速度",,性能,19
使用了一段时间才来评价手机很多错流畅度很好拍照也不错整体都挺好的好评十分,"评价,手机,整体","流畅,不错,挺好",其他,36
续航能力强拍照效果优秀很好用,"续航,能力,效果",优秀,续航,14
电池续航拍照无敌,"电池,续航",,续航,8
拍照效果拍照,效果,,其他,6
显示效果显示牛舒服,"效果,牛",舒服,其他,9
运行速度快快快,速度,,性能,7
自提拿货快还得苏宁,"拿货,苏宁",,其他,9
原装正品值得信赖多多做活动吧,"原装,正品,信赖",,其他,14
续航能力长运行速度快比我的老手机强多了,"续航,能力,速度,老,手机",,"续航,性能",19
发货速度快包装很好好评,"发货,速度",,"服务,性能",11
好东西满意非常满意遥遥,东西,遥遥,其他,11
苏宁品质原封正品的价格给力实惠,"苏宁,品质,原封,正品,价格,力",,价格,15
手机很好非常快速用起来很好,手机,,其他,13
电池续航续航时间久,"电池,续航,续航,时间",,续航,9
显示效果色彩鲜艳,效果,,其他,8
给老婆买的她之前的手机已经用几年了今天收到后试了试运行流畅颜值惊艳老婆很喜欢,"老婆,手机,颜值,老婆","流畅,惊艳",外观,38
苹果手机很好用物流很快就到了在苏宁买就是放心,"苹果,手机,物流,苏宁",,服务,22
电池续航电池续航很好听说可以用一天所以购买来用,"电池,续航,电池,续航",,续航,23
拍照效果拍照很清晰更喜欢,效果,清晰,其他,12
显示效果屏幕清晰色彩丰富,"效果,屏幕,色彩","清晰,丰富",屏幕,12
运行速度运行效果很快把用了好多年的苹果7p给换了,"速度,效果,苹果",,性能,24
手机拆开了才想起来评论苏宁的苹果不需要太多评论每次换机都是在苏宁购买价格实惠不担心翻车,"手机,评论,苏宁,苹果,评论,苏宁,价格",,价格,43
买给小舅子的高考手机很不错包装很仔细这家店是正品以后有需要还是会来买的,"小舅子,手机,店,正品","不错,仔细",其他,35
看了好多平台没想到在苏宁易购上买到的价格了开心,"平台,苏宁,价格",,价格,23
手机收到了使用了也有些时间了手机品质没有问题苏宁平台值得信赖,"手机,时间,手机,品质,问题,苏宁,平台,信赖",,其他,30
不错的苹果手机性能出色速度快照相好值得购买,"苹果,手机,性能,速度,快照",不错,性能,21
电池续航续航不错,"电池,续航,续航",不错,续航,8
运行速度运行很快哦,速度,,性能,9
拍照效果很好很好用,效果,很好,其他,9
发货非常快价格赶上优惠了,"发货,价格",,"服务,价格",12
正品不错感谢苏宁好评,"正品,苏宁",不错,其他,10
发货速度快价格便宜啦,"发货,速度,价格便宜",,"服务,性能,价格",10
发货速度很快东西包装的很好价格优惠我很满意还会回购,"发货,速度,东西,价格",很好,"服务,性能,价格",25
手机效果好电话快拍照效果很好显示效果快运行速度高,"手机,效果,电话,效果,效果,速度",,性能,24
宝贝收到了很惊喜质量非常好很满意的一次购物我会继续回购的店家值得信赖,"宝贝,质量,购物,我会,店家,信赖",惊喜,其他,34
一次很好的购物体验服务周到物流快速配送也很周到态度也很好好评,"购物,体验,物流,态度",很好,服务,30
包装非常的完好酒打开外观无任何瑕疵感谢苏宁让我买到了心心念念的平价茅台,"酒,外观,瑕疵,苏宁,心心念念,平价,茅台",完好,外观,35
电池续航体验中,"电池,续航,体验",,续航,7
拍照效果流弊,"效果,流弊",,其他,6
显示效果漂亮,效果,漂亮,其他,6
趁着搞活动价格优惠果断买了一部到货检查了是原装未拆封的,"价格,原装",,价格,27
趁着做活动领劵的时候买的价格好划算比微商便宜好多反正一样的东西当然价格低一些比较好呀店家多做这样的活动呀,"时候,价格,东西,价格低,店家",便宜,价格,52
不错不错,,"不错,不错",其他,4
电池续航给力,"电池,续航,力",,续航,6
显示效果美,"效果,美",,其他,5
非常好满意好看质量不错,质量,不错,其他,11
物流很快物品完好无损用起来很舒服喜欢,"物流,物品",舒服,服务,18
正品好评感谢苏宁易购一直支持,"正品,苏宁",,其他,14
质量很好买的很合我心意棒棒哒需要的亲们可以放心购买质量很过关品质有保障相当不错的选择好多朋友看我用都想买我都推荐了,"质量,心意,棒棒,亲们,质量,品质,朋友",不错,其他,57
实惠好用买电器认准苏宁易购,"电器,苏宁",,其他,13
非常好用喜欢新手机正品国行未激活不错不错,正品,"不错,不错",其他,20
好评速度快,速度,,性能,5
买了刚好凑到第二天华为出新机价格就降了客服还帮着退了差价挺好的,"华为,新机,价格,客服,差价",,"价格,服务",31
功能齐全质量保证拍照效果很好使用便捷运行速度很快,"质量保证,效果,速度",便捷,性能,24
电池续航续航还可以,"电池,续航,续航",,续航,9
拍照效果拍照效果非常真实,"效果,效果",,其他,12
显示效果屏幕分辨率清晰明了,"效果,屏幕,分辨率",清晰,屏幕,13
运行速度ios流畅非常棒,速度,流畅,性能,12
苏宁发货很快的到货上手测试正品有保障这点不错价格现在也挺划算的早买早享受电池也是完美的手机,"苏宁,发货,手,正品,价格,电池,手机","不错,完美","服务,续航,价格",45
发货速度很快包装完美机器好用支持苏宁,"发货,速度,机器,苏宁",完美,"服务,性能",18
不错非常不错完美,,"不错,不错,完美",其他,8
手机不错是正品用了这么久才来评价,"手机,正品,评价",不错,其他,16
拍照效果拍照牛逼,"效果,牛",,其他,8
显示效果细腻,效果,细腻,其他,6
抢到了400的优惠券购买了苹果14很划算新手机运行流畅画质好,"优惠券,苹果,画质",流畅,价格,30
全新未拆封的手机到了自营的值得信赖物流速度超级快迫不及待交换数据开始使用非常完美下次还来,"手机,信赖,物流,速度,数据",完美,"服务,性能",44
电池续航待机时间很长,"电池,续航,待机时间",,续航,10
运行速度运行速度不错的,"速度,速度",不错,性能,11
拍照清晰清晰,,"清晰,清晰",其他,6
拍照效果拍照效果不错色彩饱和,"效果,效果,色彩","不错,饱和",屏幕,14
运行速度流畅玩游戏无卡顿,"速度,玩游戏,无卡顿",流畅,性能,12
发货速度很快手机没有问题,"发货,速度,手机,问题",,"服务,性能",12
非常好售后也撤回了不错,售后,不错,其他,11
电池续航很好,"电池,续航",,续航,6
拍照效果优秀,效果,优秀,其他,6
显示效果很赞,效果,,其他,6
电池续航续航时间长运行速度快屏幕清晰拍照效果好,"电池,续航,续航,时间,速度,屏幕,效果",清晰,"续航,屏幕,性能",23
价格比较优惠正好手机有点小问题所以就打算换个新手机手机收到了是正品外观也是完好无损苹果系统确实流畅好用,"价格,手机,有点,问题,手机,正品,外观,苹果,系统","正好,确实,流畅","价格,外观,系统",51
非常好哈哈不错挺好的哈哈牛逼,牛,不错,其他,14
苹果14太棒了超出预期用起来舒服不卡太喜欢了,"苹果,太棒了,卡太",舒服,其他,22
很喜欢价格非常实惠,价格,,价格,9
电池续航特别棒,"电池,续航",,续航,7
显示效果挺好的,效果,,其他,7
运行速度很流畅,速度,流畅,性能,7
显示效果显示细腻清晰,效果,"细腻,清晰",其他,10
运行速度流畅无卡顿,"速度,无卡顿",流畅,性能,9
发货速度挺快手机没有问题,"发货,速度,手机,问题",,"服务,性能",12
非常满意的一次购物体验正品全新没拆封没激活查过了是国行正品推荐大家以后在苏宁这个平台选择商品,"购物,体验,正品,国行,正品,大家,苏宁,平台,商品",激活,其他,46
自营果子机全新没激活值得信赖,"果子,机,信赖",激活,其他,14
用着挺好味道清新里边泡泡挺多,"味道,泡泡",清新,其他,14
流畅续航ok这就够了,续航,流畅,续航,10
给对象买的非常好哈哈牛逼,"对象,牛",,其他,12
价格实惠物流很快购物体验很棒爱苏宁,"价格,物流,购物,体验,苏宁",很棒,"价格,服务",17
运行流畅度很快显示效果很清晰运行速度很快显示效果很清晰,"效果,速度,效果","流畅,清晰,清晰",性能,27
电池续航长,"电池,续航",,续航,5
显示效果饱满,效果,,其他,6
苏宁易购不错比某东上便宜,苏宁,"不错,便宜",其他,12
手机很好用性价比很高,"手机,性价比",,价格,10
国行正品全新未拆封未激活买手机还得来苏宁活动加上银行价格真香,"正品,买手机,苏宁,银行,价格,真香",,价格,30
电池耐用拍照效果好显示细腻运行速度快,"电池,效果,速度","耐用,细腻","续航,性能",18
拍照效果拍照效果好好,"效果,效果",,其他,10
显示效果屏幕也好,"效果,屏幕",,屏幕,8
运行速度运行速度快,"速度,速度",,性能,9
苏宁的价格真是实惠对比好几家最终决定在苏宁购买拿果然没让人失望包装严格很让人放心,"苏宁,价格,苏宁",严格,价格,40
感谢苏宁让我用上平价手机,"苏宁,平价,手机",,其他,12
电池续航续航很好,"电池,续航,续航",,续航,8
运行速度速度很快,"速度,速度",,性能,8
电池续航久,"电池,续航",,续航,5
显示效果很好,效果,,其他,6
电池续航很棒很喜欢可以的,"电池,续航",很棒,续航,12
显示效果显示效果也很好,"效果,效果",,其他,11
拍照效果拍照清晰下面放图给你们看看,效果,清晰,其他,17
好全新的不错的,,不错,其他,7
手机正品全新用起来没问题,"手机,正品,问题",,其他,12
电池续航很棒用了一天才掉了26,"电池,续航",很棒,续航,15
拍照效果很清晰比动不动上亿的安卓机还好,"效果,安卓,机",清晰,其他,19
运行速度流畅不带卡顿,速度,流畅,性能,10
物流很快当天晚上顺丰发货第二天早上就到啦,"物流,发货",,服务,20
非常棒好评不错,,不错,其他,7
手机稳定的话还得是苹果五更,"手机,苹果",稳定,其他,13
手机很不错价格实惠感谢苏宁相信苏宁,"手机,价格,苏宁,苏宁",不错,价格,17
用了几天暂时没出现什么问题一直喜欢高级黑色发货比想象的快包装也很好希望后续使用质量能保证以前的11实在是不行了换了14感觉速度快不少很满意除了手电灯光发粉感觉奇奇怪怪续航感觉比我之前的11强可以用一天电相信苏宁易购,"问题,黑色,发货,想象,质量,感觉,速度,手,电灯光,发粉,感觉,续航,感觉,电,苏宁",,"服务,续航,性能",107
价格实惠原装未拆的,"价格,原装",,价格,9
质量很过关品质有保障相当不错的选择好多朋友看我用都想买我都推荐了,"质量,品质,朋友",不错,其他,32
拍照效果拍照很清晰的,效果,清晰,其他,10
显示效果色彩很饱满,"效果,色彩",,屏幕,9
运行很快流畅好评,,流畅,其他,8
运行速度很快屏幕很清晰外观也好看正品保证自营很靠谱,"速度,屏幕,外观,正品",清晰,"性能,外观,屏幕",25
效果很棒很喜欢,效果,很棒,其他,7
运行速度可以跟上,速度,,性能,8
好111111111111,,,其他,13
非常满意价格给力,"价格,力",,价格,8
电池续航非常完美,"电池,续航",完美,续航,8
拍照效果非常完美,效果,完美,其他,8
显示效果非常完美,效果,完美,其他,8
运行速度非常完美,速度,完美,性能,8
电池续航充电速度很快哦续航能力也很强很棒,"电池,续航,速度,续航,能力",很棒,"续航,性能",20
运行速度速度很快非常流畅,"速度,速度",流畅,性能,12
拍照效果清晰分辨率高,"效果,分辨率",清晰,屏幕,10
你如春天樱桃般甜蜜,樱桃,甜蜜,其他,9
显示效果苹果产品显示很满意,"效果,苹果,产品",,其他,13
运行速度苹果系统ios加持速度没问题,"速度,苹果,系统,速度,问题",,"性能,系统",18
流程好用的价格也蛮美丽的期待后续使用也完美,"流程,价格,美丽",完美,价格,21
手机很好全新正品未拆封运行相当流畅,"手机,正品",流畅,其他,17
电池续航续航长,"电池,续航,续航",,续航,7
显示效果显示完美,效果,完美,其他,8
运行速度运行流畅,速度,流畅,性能,8
速度快,速度,,性能,3
搞活动的时候买的确实不错,时候,"确实,不错",其他,12
券很划算除了充电和信号是硬伤其他都还行吧,"信号,硬伤",,其他,20
质量很好买的很合我心意棒棒哒需要的亲们可以放心购买,"质量,心意,棒棒,亲们",,其他,25
送人的感觉苏宁活动时候手机还是很给力的,"感觉,苏宁,时候,手机,力",,其他,19
宝贝收到了和实物描述的一样每年都必买首先这家发货速度很快物美价廉值得大家放心购买,"宝贝,实物,发货,速度,大家",,"服务,性能",40
机器非常好正品质量很好物流很快服务态度很好值得购买,"机器,正品,质量,物流,服务态度",,服务,25
东西正品没有问题苏宁价格优惠,"东西,正品,问题,苏宁,价格",,价格,14
手机不错包装很好质量不错的,"手机,质量","不错,不错",其他,13
发货速度快满意,"发货,速度",,"服务,性能",7
性价比高啊是正品全新,"性价比,正品",,价格,10
快递很快手机没问题买来当个备用机,"手机,问题,备用机",,其他,16
手机收到很棒续航很久拍照很清晰,"手机,续航","很棒,清晰",续航,15
查了是正品未激活新机以前买苏宁自营苹果手机没贴封贴像是第三方发的心里坦坦不安还好手机没问题苏宁自营还是不能丢毕竟消费者冲着苏宁自营店来的,"正品,新机,苏宁,苹果,手机,封贴,坦坦,手机,问题,苏宁,消费者,苏宁,店",不安,其他,68
外观干净漂亮做工很不错没发现什么瑕疵个人感觉大小也挺合适找了很久选的这款大爱已经用过一段时间了效果不错客服服务有耐心解答详细赞一个,"外观,瑕疵,个人感觉,效果,客服","干净,漂亮,不错,合适,不错,耐心,详细","外观,服务",65
运行速度闪电快,速度,,性能,7
很好很好很好很好很好很好不错不错不错,,"很好,很好,很好,很好,很好,不错,不错,不错",其他,18
很好的产品价格也很优惠,产品价格,很好,价格,11
显示效果显示很逼真,效果,,其他,9
运行速度非常完美活动真实感谢苏宁易购,"速度,苏宁",完美,性能,18
电池续航很满意价钱很合理活动ing真实有效,"电池,续航,价钱",,续航,21
运行流畅拍照清晰手感很好续航时间长,"手感,续航,时间","流畅,清晰",续航,17
苹果手机是真的好拍照效果很好很好,"苹果,手机,效果",很好,其他,16
不错物流很快不错不错,物流,"不错,不错,不错",服务,10
电池续航达到,"电池,续航",,续航,6
拍照效果很好哦,效果,,其他,7
显示效果不错的,效果,不错,其他,7
运行速度反应很快不卡顿,速度,,性能,11
拍照效果自然清晰,效果,清晰,其他,8
显示效果色彩饱满,"效果,色彩",,屏幕,8
使用很流畅正品行货相信苏宁,"正品,行货,苏宁",流畅,其他,13
手机很好快递很好拍照效果很好很喜欢给自己的,"手机,效果",,其他,21
物流很快手机很好,"物流,手机",,服务,8
买了一台给老婆说这个手机反应很快运行流畅趁着做活动又买了一台很换算苏宁的活动野给力,"老婆,手机,苏宁,野给力",流畅,其他,41
苏宁的配送服务太好好了,苏宁,,其他,11
苹果手机原装正品物流很快,"苹果,手机,原装,正品,物流",,服务,12
手机质量不错很好用苏宁有保障,"手机,质量,苏宁",不错,其他,14
物流很快包装的很严实,物流,严实,服务,10
此用户没有填写评价内容,"用户,评价,内容",,其他,11
音质好分辨率高,"音质,分辨率",,屏幕,7
通话声音大电池耐用,"通话,声音,电池",耐用,续航,9
手机收到了手机颜色和手感不错精致的一个做工家里老人很喜欢声音很大听的非常清楚手机的待机时间也是相对于其他老人机来说是比较长的还可以一键拨号一键手电筒一键解锁等等总得来说对于老人是一个简单易懂的手机,"手机,手机,颜色,手感,老人,声音,手机,待机时间,老人,机,一键,一键,手电筒,一键,老人,易懂,手机","不错,精致,很大,清楚,简单","外观,续航",98
非常好用继续使用,,,其他,8
好好好没毛病正品全新机,"毛病,正品,机",,其他,11
电池续航电池续航能力强,"电池,续航,电池,续航,能力",,续航,11
显示效果显示效果好,"效果,效果",,其他,9
紫色很好看拍照很出色显示效果满分,"紫色,效果",,其他,16
发现还是十四香啊,,,其他,8
退不了货的别买手机被拆开过的后封机二手的还在手机贴了一大张贴纸很丑,"货,买手机,机,手机,张贴,纸",一大,其他,33
千万别买这家的手机是后封机还贴了一大张标签丑得很退货还推不掉垃圾卖家,"手机,封机,标签,垃圾,卖家",一大,其他,34
不错不错不错不错不错不错不错不错不错,,"不错,不错,不错,不错,不错,不错,不错,不错,不错",其他,18
头一次用感觉真不错一分价钱一分货不错,"头,感觉,价钱,一分货",不错,其他,18
白色的苹果手机才是看的应援苏宁易购,"白色,苹果,手机,苏宁",,其他,17
信号稳定功能齐全苹果14手机真的是性价比,"信号,苹果,手机,性价比",稳定,价格,20
好好好好好好好好好好好好看看好好看看好好休息,,,其他,22
你若盛开清风自来,清风,,其他,8
一切都会变好超好爆好无敌好,,,其他,13
手机非常不错好用不错拍照清晰物流很快价格优惠非常赞苏宁,"手机,物流,价格,苏宁","不错,不错,清晰","服务,价格",27
用了一段时间才过来评价的手机的拍照效果刚刚的非常清晰一点都不卡顿确实苹果大牌子值得信任苏宁正品也是非常值得信赖的内存一定要买256的128确实不够用,"评价,手机,效果,苹果,牌子,信任,苏宁,正品,信赖,内存","清晰,确实,确实",其他,74
信号稳定功能齐全,信号,稳定,其他,8
真的很喜欢完全超出期望值发货速度非常快包装非常仔细严实运送速度很快很满意的一次购物苏宁易购就是牛,"期望值,发货,速度,速度,购物,苏宁,牛","完全,仔细,严实","服务,性能",48
超级好便宜巨便宜物流快上门喜欢,"巨,物流,上门","便宜,便宜",服务,15
颜色清新淡雅外包装完好快递师傅也很负责提前打电话亲手送到本人手上用了这一段时间手机续航还是可以的屏幕色彩显示鲜亮在15没发布前入手价格还优惠很划算,"颜色,外包装,师傅,手机,续航,屏幕,色彩,价格","清新,完好,鲜亮","外观,续航,服务,价格,屏幕",73
igcgccgciiixidixtdtddgccg,,,其他,25
3576567567762672627,,,其他,19
好评好评好评好评好评好评好评好评好评好评,,,其他,20
非常好用,,,其他,4
性价比高外观漂亮,"性价比,外观",漂亮,"价格,外观",8
不错很满意,,不错,其他,5
很好一直在苏宁买电子产品,"苏宁,电子产品",,其他,12
yyyyyyyyyyyyyy,,,其他,14
55555555555552225555555555,,,其他,26
饿了可饿了客服了郎饿了觉可疼可疼略略略了同乐同乐鲁特,"客服,同乐,同乐,鲁特",,服务,26
6464646464664464646464,,,其他,22
信号稳定外观漂亮,"信号,外观","稳定,漂亮",外观,8
好好用,,,其他,3
系统流畅信号稳定分辨率高,"系统,信号,分辨率","流畅,稳定","屏幕,系统",12
新手机后摄像头里面有异物,"摄像头,异物",,拍照,12
哈哈哈哈哈哈哈哈哈哈姐姐家,姐姐,,其他,13
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,,,其他,48
好好好好好好好好好好好好好好好好好好好好好好好好好,,,其他,25
苹果14收到了验过了是正品苏宁易购买东西很放心发货速度很快隔天就到了手机拍照效果不错运行速度很快非常满意,"苹果,正品,苏宁,东西,发货,速度,手机,效果,速度",不错,"服务,性能",52
好好好好好好好好好好好好好好好好好好好好好好,,,其他,22
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,,,其他,31
gucugvvgvhvh,,,其他,12
fufcubibiivivvi,,,其他,15
苏宁正品比较满意,"苏宁,正品",,其他,8
这款手机性价比很高速度也很快买的人也多拍照很清晰颜色内存都够用值得购买,"手机,性价比,高速度,颜色,内存",清晰,"价格,外观,性能",35
照相效果确实不错价格也还好算是比较给力吧,"效果,价格,力","确实,不错",价格,20
小尺寸手机里手感非常不错颜值又不落伍使用起来流畅玩游戏无卡顿apos发货速度快体验好,"尺寸,手机,手感,颜值,落伍,玩游戏,无卡顿,发货,速度,体验","不错,流畅","外观,服务,性能",42
续航还不错用一天差不多拍照清晰小巧挺好,"续航,小巧","不错,清晰",续航,19
非常感谢苏宁易购活动价格非常给力,"苏宁,价格,力",,价格,16
iicvhhoovvuuvvouv,,,其他,17
ufxuxgcgcckck,,,其他,13
今天遇见哈哈哈哈哈哈,,,其他,10
不斤斤计较经济后果会很好,"经济,后果",,其他,12
就j就回个话好尴尬江河湖海,"话,江河湖海",尴尬,其他,13
哈哈纪念碑谷哈哈哈哈哈哈,"纪念碑,谷",,其他,12
哈回家斤斤计较斤斤计较,"哈,回家",,其他,11
回家斤斤计较斤斤计较斤斤计较,回家,,其他,14
52358835328382732723,,,其他,20
宝贝确实很棒个人非常喜欢朋友也说好来着推荐购买很好的卖家谢谢喽我的同事们都很喜欢呢下次再来哦掌柜态度很专业热情有问必答回复也很快我问了不少问题他都不觉得烦都会认真回答我这点我向掌柜表示由衷的敬意这样的好掌柜可不多再说宝贝正是我需要的收到的时候包装完整打开后让我惊喜的是宝贝比我想象中的还要好不得不得竖起大拇指,"宝贝,个人,朋友,卖家,谢谢,同事,掌柜,态度,专业,热情,问题,掌柜,掌柜,宝贝,时候,宝贝,想象,大拇指","确实,很棒,很好,认真,完整,惊喜",其他,154
实物与描述的一样质量相当好卖家态度也好有问必答发货速度杠杠的值得购买哦发货速度很快东西包装的很好价格优惠我很满意还会回购,"实物,质量,卖家,态度,发货,速度,杠杠,发货,速度,东西,价格",很好,"服务,性能,价格",60
非常满意的一次购物好东掌柜态度很专业热情有问必答回复也很快我问了不少问题他都不觉得烦都会认真回答我这点我向掌柜表示由衷的敬意这样的好掌柜可不多再说宝贝正是我需要的收到的时候包装完整打开后让我惊喜的是宝贝比我想象中的还要好不得不得竖起大拇指,"购物,东,掌柜,态度,专业,热情,问题,掌柜,掌柜,宝贝,时候,宝贝,想象,大拇指","认真,完整,惊喜",其他,119
款苹果是用的苹果6那还是好多年前了苹果6已经用了五年后来换的xr苹果系统流畅运行速度快手机拍照效果好然后用了一段安卓机现在又购买了一款苹果14估计能战5年官方旗舰店购买正品使用效果非常棒用了快两个星期了没有任何问题愉快的购物体验,"苹果,苹果,苹果,苹果,系统,速度,手机,效果,安卓,机,苹果,官方,正品,效果,问题,购物,体验","流畅,愉快","性能,系统",114
功能齐全,,,其他,4
系统流畅,系统,流畅,系统,4
通话声音大,"通话,声音",,其他,5
发货快包装很好手机拍照也清楚正品的好评下次还买,"发货,手机,正品",清楚,服务,23
电池续航充满电用一天一点问题没有,"电池,续航,电用,问题",充满,续航,16
是正品,正品,,其他,3
包装用心全新未拆封未激活国行正品新机价格优惠用各方面满意苏宁自营店很放心,"用心,正品,新机,价格,方面,苏宁,店",,价格,36
ivvhviviibyiiyvivy,,,其他,18
ciicivvoohbppvvp,,,其他,16
igviviivivvibiigby,,,其他,18
4675657576675675,,,其他,16
55853375778385588,,,其他,17
5885555555525555,,,其他,16
不是很好用,,,其他,5
好用的苹果14外形设计的很好超爱,"苹果,外形",很好,外观,16
拍照效果拍照效果好物流快递速度快手机反应速度快电池容量一般其他都还行,"效果,效果,物流,速度,手机,电池容量",一般,"服务,续航,性能",34
运行速度运行速度快反应快上手快还是老样子好用,"速度,速度,样子",,性能,22
特别棒非常不错很喜欢,,不错,其他,10
好用家里人很喜欢,,,其他,8
价格非常实惠一直都是在苏宁买的手机优惠是真心不错发货速度快包装很好,"价格,苏宁,手机,发货,速度",不错,"价格,服务,性能",33
显示效果,效果,,其他,4
购物苏宁易购质量很好买的很合我心意棒棒哒需要的亲们可以放心购买宝贝确实很棒个人非常喜欢朋友也说好来着推荐购买,"购物,苏宁,质量,心意,棒棒,亲们,宝贝,个人,朋友","确实,很棒",其他,54
拍照效果手机拍照可清晰了真好用,"效果,手机",清晰,其他,15
848484848484848,,,其他,15
64646464646464676,,,其他,17
包装保护2层纸箱内有海绵包裹很安全 外形外观金属质感低调的配色个人很喜欢 运行速度运行流畅3种模式任意切换 画面品质2k屏没的说非常清晰看起来很舒适 跑分评测完美 其他首发价抢到的很香很久没用笔记本了发现如今的笔记本比当初好太多了而且这款各方面都比较出色,"纸箱,海绵,外形,外观,金属,质感,配色,个人,速度,模式,画面,品质,价,笔记本,笔记本,方面","安全,流畅,清晰,舒适,完美","外观,性能",127
包装保护完好 外形外观全面屏看着非常好而且机器本身也非常漂亮 画面品质屏幕可以说太清晰了 运行速度速度老快了画图玩游戏都非常好值得拥有,"外形,外观,全面,屏,机器,画面,品质,屏幕,速度,速度,画图,玩游戏","完好,漂亮,清晰","外观,屏幕,性能",67
包装保护挺完备 外形外观大气简洁漂亮 画面品质完美高清4k 跑分评测性能综合能力强位居前列 运行速度反应非常快 游戏效果速度快流畅不卡清晰度高发热小完全带的动基本游戏,"外形,外观,大气,画面,品质,高清,性能,能力,速度,游戏,效果,速度,不卡,清晰度,动,基本,游戏","简洁,漂亮,完美,流畅,完全","外观,拍照,性能",83
超级开心首发买到y9000pi5的够用了喜欢这个大屏幕平时看图纸用着很舒服以后学bim3060的也可以轻松带的动,"大屏幕,图纸,学,动","舒服,轻松",屏幕,56
包装保护包装精良 外形外观商务风格沉稳大气 跑分评测跑分给力轻松一百五十多万分 运行速度16g镁光大内存512G镁光固态RTX3060显卡运行流畅 游戏效果游戏效果很棒 画面品质2k 165hz高刷新率画质较好,"外形,外观,商务,风格,大气,力,速度,内存,固态,游戏,效果,游戏,效果,画面,品质,刷新率,画质","精良,沉稳,轻松,流畅,很棒","外观,性能",105
包装保护包装很结实双包装箱保护 外形外观金属材质太空灰很有科技感觉 画面品质清晰高分屏玩起来眼睛不累 跑分评测鲁大师跑了130 运行速度游戏基本都OK一点不卡顿 游戏效果非常清晰,"结实,双,包装箱,外形,外观,金属,材质,太空,灰,科技,感觉,画面,品质,高分,屏,眼睛,鲁,大师,速度,游戏,基本,游戏,效果","清晰,清晰","服务,外观,性能",89
包装保护包装很好一点没磕碰和划痕 外形外观金属外观商用和办公都不冲突 画面品质高分屏看起来很舒服 运行速度运行速度杠杠的玩游戏一点都不卡顿 游戏效果任何游戏都没问题,"划痕,外形,外观,金属,外观,商用,办公,画面,品质,高分,屏,速度,速度,杠杠,玩游戏,游戏,效果,游戏,问题",舒服,"外观,性能",82
包装保护包装严实安全防震 外形外观颜值很高外形轮廓硬朗如同一个机械战士充满活力 画面品质色彩出众亮度调节合适显示清晰画面细腻看电影和刷网页眼睛一点都不累 运行速度一代神U速度非常快无论是大型工作软件还是游戏都能流畅高质运行 游戏效果游戏画面稳定流畅度高WIFI也很快音响效果很好 跑分评测不用跑i5 12500h和3050ti的配置高分显而易见,"防震,外形,外观,颜值,外形,轮廓,机械,战士,画面,品质,色彩,出众,亮度,画面,电影,网页,眼睛,速度,神,速度,软件,游戏,能流畅,高质,游戏,效果,游戏,画面,音响效果,高分","严实,安全,硬朗,合适,清晰,细腻,稳定,流畅","外观,屏幕,性能",172
终于等到y9000p有幸抢到了一台真的是太给力了新版 的logo真的帅酷了打游戏一定要首选它颜值也是杠杠 的非常漂亮 如果喜欢打游戏一定要买它 真的是高性能 大 爱联想拯救者系列等了好久运气也好抢到了最想要的y9000p正面颜值 没得说核心卖点屏幕看的太舒服了高分辨高刷 电脑到手后甚至想把自己的显示器卖了键盘满分不解 释 音效也很不错 符合游戏定位 这个价位基本是 各项拉满的电脑了 很合我意快递也很好,"颜值,杠杠,高性能,运气,颜值,核心,卖点,屏幕,太,电脑,显示器,键盘,释,音效,游戏,定位,价位,基本,拉满,电脑,意","有幸,帅酷,漂亮,正面,舒服,不错","外观,屏幕,性能",202
